doc_a,doc_b,best_guess_label,confidence,notes
"19920507_30411_PC.tif","20060224_00000328_Manager,_A_183C39.serv",different,low,"two unreadable formats (.tif, .serv) — different positions by filename"
"20120827_Temp._Pos.__112172,_Faculty_of_Education,_Aug._24,_2012.dot","20140728_00115642_Program_Director.docx",different,low,".dot template vs a real JD — structurally different artifact"
"20100515_00001604_JDFN_APSA_20100515.docx","20110115_00100214_Admin_Coord.docx",different,medium,"two transition-era APSA docs, different positions"
"20100515_00001604_JDFN_APSA_20100515.docx","20191128_00119031_JDFN_APSA_20191128.docx",different,medium,"APSA 2010 vs 2019, different positions"
"20260616_00134720_APEX_JDFN_20260616.docx","20260626_00138568_JDFN_CUPE_20260624.docx",different,high,"APEX executive vs CUPE union — different groups"
"19820219_00001211Systems_consultantII.doc","19670501_00006855Assistant_to_assoc_dean.doc",different,medium,"Systems consultant vs Assistant-to-dean"
"19920608_00006375Programmer_analyst.doc","20160104_00118493_Assoc_Dir_Venture_Cnctn.docx",different,high,"Analyst vs Associate Director"
"19901029_00000063Laboratory_coordinator.doc","20231027_00125977_JDFN_APEX_20231030.docx",different,high,"Lab coordinator vs APEX executive"
"20060327_Sec_to_Director_REM.txt","19900123_00030838Network_manager.doc",different,medium,"Secretary vs Network manager"
"20181014_00124799_Research_Project_Manager.docx","20090701_00102072_Clerk,_Gr_4.docm",different,high,"Project Manager vs Clerk"
"20200214_00124799_JDFN_APSA_20200219.docx","20210804_00129695_JDFN_CUPE_20210804.docx",different,high,"APSA Project Manager vs CUPE role"
"19920501_00000981Technician_May1992.doc","19970808_00030273Dept_resource_specialist.doc",same-role,low,"Technician vs Specialist — both technical IC; verify by body"
"19930630_00031708Traffic_park_enf_officer.doc","20060224_00000328_Manager,_A_183C39.serv",different,low,"Officer vs Manager; one side unreadable"
"19670501_00006855Assistant_to_assoc_dean.doc","20110110_00001878_Dir_Ugrad_Programs.docx",different,medium,"Assistant vs Director"
"19910121_00030393Administrative_assistant.doc","20110115_00100214_Admin_Coord.docx",same-role,low,"Administrative assistant vs Administrative coordinator — adjacent families, verify"
"19920428_00001201Clerk.doc","19920430_00000536Secretary.doc",same-role,low,"Clerk vs Secretary — adjacent clerical families; verify"
"20231027_00125977_JDFN_APEX_20231030.docx","20260702_00138231_JDFN_APSA_20260615.docx",different,medium,"APEX executive vs APSA professional role"
"20210804_00129695_JDFN_CUPE_20210804.docx","20191128_00119031_JDFN_APSA_20191128.docx",different,medium,"CUPE vs APSA — different groups/roles"
"20160104_00118493_Assoc_Dir_Venture_Cnctn.docx","20170310_00116227_Video_Journalist.docx",different,medium,"Associate Director vs Video Journalist"
"20140728_00115642_Program_Director.docx","20181014_00124799_Research_Project_Manager.docx",same-role,low,"Program Director vs Research Project Manager — both program/project leadership; verify seniority"
"19900123_00030838Network_manager.doc","20181014_00124799_Research_Project_Manager.docx",same-role,low,"Manager vs Project Manager — verify whether equivalent"
"19820219_00001219Systems_consultantII.doc","20170310_00116227_Video_Journalist.docx",different,high,"Systems consultant vs Video Journalist"
"20000601_00031286_Coord_Prof_Prog_Jun2000.rtf","20120827_Temp._Pos.__112172,_Faculty_of_Education,_Aug._24,_2012.dot",different,low,"Coordinator vs .dot template artifact"
"19970808_00030273Dept_resource_specialist.doc","20260616_00134720_APEX_JDFN_20260616.docx",different,high,"Specialist vs APEX executive"
"19910419_00030834Director_pub_relation_HC.doc","20231027_00125977_JDFN_APEX_20231030.docx",same-role,low,"Director vs APEX executive — possible seniority-adjacent; verify group boundary"
"20110110_00001878_Dir_Ugrad_Programs.docx","20260702_00138231_JDFN_APSA_20260615.docx",different,low,"Director vs unknown APSA role — verify"
"19920430_00000536Secretary.doc","19910121_00030393Administrative_assistant.doc",same-role,low,"Secretary vs Administrative assistant — adjacent clerical/admin families"
"20040301_06983.txt","20060327_Sec_to_Director_REM.txt",different,low,"two txt oddities, different positions/content unknown"
"20090701_00102072_Clerk,_Gr_4.docm","20040301_06983.txt",different,low,"Clerk vs id-only txt stub"
"20260702_00138231_JDFN_APSA_20260615.docx","20260626_00138568_JDFN_CUPE_20260624.docx",different,medium,"2026 APSA vs 2026 CUPE — same period, different groups/roles"
"20191128_00119031_JDFN_APSA_20191128.docx","20260702_00138231_JDFN_APSA_20260615.docx",different,medium,"APSA 2019 vs 2026, different positions"
"20200924_00001090_JDFN_APSA_20200101.docx","20231024_00112766_JDFN_APSA_20231220.docx",different,medium,"different APSA positions across years"
"19900123_00030838Network_manager.doc","19910419_00030834Director_pub_relation_HC.doc",different,low,"Manager vs Director — seniority-adjacent leadership; verify not-equivalent"
"19820219_00001211Systems_consultantII.doc","20100515_00001604_JDFN_APSA_20100515.docx",different,low,"old Systems consultant vs unknown 2010 APSA role — verify"
"20170310_00116227_Video_Journalist.docx","20231024_00112766_JDFN_APSA_20231220.docx",different,low,"Journalist vs unknown APSA role — verify"
"19930630_00031708Traffic_park_enf_officer.doc","19670501_00006855Assistant_to_assoc_dean.doc",different,high,"Enforcement officer vs Assistant-to-dean"
"20060716_Manager,_Acad___Admin.Serv,Public_Policy.doc.doc.doc","20140728_00115642_Program_Director.docx",same-role,low,"Manager vs Program Director — leadership-adjacent; verify equivalence"
"20160104_00118493_Assoc_Dir_Venture_Cnctn.docx","20210901_00131366_JDFN_APSA_20210910.docx",different,low,"Associate Director vs unknown APSA role — verify"
"19920501_00000981Technician_May1992.doc","19920608_00006375Programmer_analyst.doc",same-role,low,"Technician vs Programmer/analyst — adjacent technical families; verify"
